path,participant_id,sequence_id,sign
ก\0.parquet,0,70,ก
ก\1.parquet,1,70,ก
ก\10.parquet,10,70,ก
ก\11.parquet,11,70,ก
ก\12.parquet,12,70,ก
ก\13.parquet,13,70,ก
ก\14.parquet,14,70,ก
ก\15.parquet,15,70,ก
ก\16.parquet,16,70,ก
ก\17.parquet,17,70,ก
ก\19.parquet,19,70,ก
ก\2.parquet,2,70,ก
ก\20.parquet,20,70,ก
ก\22.parquet,22,70,ก
ก\23.parquet,23,70,ก
ก\24.parquet,24,70,ก
ก\25.parquet,25,70,ก
ก\27.parquet,27,70,ก
ก\28.parquet,28,70,ก
ก\29.parquet,29,70,ก
ก\3.parquet,3,70,ก
ก\4.parquet,4,70,ก
ก\5.parquet,5,70,ก
ก\6.parquet,6,70,ก
ก\7.parquet,7,70,ก
ก\8.parquet,8,70,ก
ก\9.parquet,9,70,ก
กรณ์ จาติกวณิช\0.parquet,0,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\1.parquet,1,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\10.parquet,10,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\11.parquet,11,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\12.parquet,12,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\13.parquet,13,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\14.parquet,14,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\15.parquet,15,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\16.parquet,16,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\17.parquet,17,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\19.parquet,19,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\2.parquet,2,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\20.parquet,20,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\22.parquet,22,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\23.parquet,23,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\24.parquet,24,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\25.parquet,25,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\27.parquet,27,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\28.parquet,28,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\29.parquet,29,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\3.parquet,3,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\4.parquet,4,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\5.parquet,5,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\6.parquet,6,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\7.parquet,7,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\8.parquet,8,27,กรณ์ จาติกวณิช
กรณ์ จาติกวณิช\9.parquet,9,27,กรณ์ จาติกวณิช
กระโดด\0.parquet,0,49,กระโดด
กระโดด\1.parquet,1,49,กระโดด
กระโดด\10.parquet,10,49,กระโดด
กระโดด\11.parquet,11,49,กระโดด
กระโดด\12.parquet,12,49,กระโดด
กระโดด\13.parquet,13,49,กระโดด
กระโดด\14.parquet,14,49,กระโดด
กระโดด\15.parquet,15,49,กระโดด
กระโดด\16.parquet,16,49,กระโดด
กระโดด\17.parquet,17,49,กระโดด
กระโดด\19.parquet,19,49,กระโดด
กระโดด\2.parquet,2,49,กระโดด
กระโดด\20.parquet,20,49,กระโดด
กระโดด\22.parquet,22,49,กระโดด
กระโดด\23.parquet,23,49,กระโดด
กระโดด\24.parquet,24,49,กระโดด
กระโดด\25.parquet,25,49,กระโดด
กระโดด\27.parquet,27,49,กระโดด
กระโดด\28.parquet,28,49,กระโดด
กระโดด\29.parquet,29,49,กระโดด
กระโดด\3.parquet,3,49,กระโดด
กระโดด\4.parquet,4,49,กระโดด
กระโดด\5.parquet,5,49,กระโดด
กระโดด\6.parquet,6,49,กระโดด
กระโดด\7.parquet,7,49,กระโดด
กระโดด\8.parquet,8,49,กระโดด
กระโดด\9.parquet,9,49,กระโดด
กลับ\0.parquet,0,3,กลับ
กลับ\1.parquet,1,3,กลับ
กลับ\10.parquet,10,3,กลับ
กลับ\11.parquet,11,3,กลับ
กลับ\12.parquet,12,3,กลับ
กลับ\13.parquet,13,3,กลับ
กลับ\14.parquet,14,3,กลับ
กลับ\15.parquet,15,3,กลับ
กลับ\16.parquet,16,3,กลับ
กลับ\17.parquet,17,3,กลับ
กลับ\19.parquet,19,3,กลับ
กลับ\2.parquet,2,3,กลับ
กลับ\20.parquet,20,3,กลับ
กลับ\22.parquet,22,3,กลับ
กลับ\23.parquet,23,3,กลับ
กลับ\24.parquet,24,3,กลับ
กลับ\25.parquet,25,3,กลับ
กลับ\27.parquet,27,3,กลับ
